,age_avg,bra_id,cidade,cnae_id,distance,ibge_id,instituicao,num_emp,num_emp_growth,num_emp_growth_5,num_est,num_jobs,opp_gain,rca,wage,wage_avg,wage_growth,wage_growth_5,year,industry_section,industry_class
11,38.333,4mg070407,Inconfidentes,01512,0.8220000000000001,3130606,IFSUL,9,0.125,0.052,7,9,-0.085,1.788,5976.05,664.01,0.365,0.156,2010,Agropecuária,Criação de bovinos
12,37.364,4mg030202,Congonhas,01512,0.871,3118007,IFMG,11,-0.154,-0.113,9,11,-0.336,0.091,6423.06,583.92,-0.085,-0.016,2010,Agropecuária,Criação de bovinos
13,41.818,4mg070809,Muzambinho,01512,0.693,3144102,IFSUL,11,0.222,0.615,11,11,0.364,0.748,8189.54,744.50,0.39,0.685,2010,Agropecuária,Criação de bovinos
14,42.5,4mg070915,Varginha,01512,0.623,3170701,CEFET,12,-0.2,0.059,5,12,0.483,0.041,6521.19,543.43,0.01,0.131,2010,Agropecuária,Criação de bovinos
15,47.333,4mg100412,Timoteo,01512,0.8290000000000001,3168705,CEFET,12,0.2,0.084,8,12,-0.225,0.064,7096.64,591.39,0.426,0.177,2010,Agropecuária,Criação de bovinos
16,41.905,4mg030016,Ribeirao das Neves,01512,0.8029999999999999,3154606,IFMG,21,0.05,0.043,8,21,-0.085,0.134,12957.16,617.01,0.064,0.157,2010,Agropecuária,Criação de bovinos
17,41.87,4mg070411,Pocos de Caldas,01512,0.607,3151800,IFSUL,23,-0.324,-0.032,7,23,0.557,0.09,19727.94,857.74,-0.073,0.152,2010,Agropecuária,Criação de bovinos
18,39.28,4mg070008,Machado,01512,0.715,3139003,IFSUL,25,-0.167,0.0,10,25,0.256,0.554,16171.34,646.85,-0.082,0.102,2010,Agropecuária,Criação de bovinos
19,41.533,4mg030019,Santa Luzia,01512,0.853,3157807,IFMG,30,-0.25,-0.065,22,30,-0.303,0.107,19393.84,646.46,-0.204,0.041,2010,Agropecuária,Criação de bovinos
20,42.03,4mg000107,Nepomuceno,01512,0.722,3144607,CEFET,33,-0.175,0.525,7,33,0.311,2.082,21831.13,661.55,-0.067,0.751,2010,Agropecuária,Criação de bovinos
21,38.7,4mg030208,Ouro Branco,01512,0.9329999999999999,3145901,IFMG,10,2.333,0.149,8,10,-0.581,0.054,5689.22,568.92,2.818,0.224,2010,Agropecuária,Criação de bovinos
22,40.293,4mg100404,Ipatinga,01512,0.8170000000000001,3131307,IFMG,41,-0.196,0.021,29,41,-0.18600000000000003,0.054,24478.68,597.04,-0.098,0.131,2010,Agropecuária,Criação de bovinos
23,40.347,4mg080204,Ituiutaba,01512,0.654,3134202,IFTM,734,-0.053,0.091,391,734,0.462,6.887,535046.50,728.95,0.072,0.232,2009,Agropecuária,Criação de bovinos
24,40.527,4mg110007,Leopoldina,01512,0.6559999999999999,3138401,CEFET,659,-0.083,0.415,308,660,0.455,11.714,344799.46,522.42,0.026,0.597,2009,Agropecuária,Criação de bovinos
25,42.877,4mg070514,Pouso Alegre,01512,0.637,3152501,IFSUL,187,-0.11,0.247,102,187,0.43700000000000006,0.639,101251.63,541.45,-0.005,0.401,2009,Agropecuária,Criação de bovinos
26,40.116,4mg070913,Tres Coracoes,01512,0.7140000000000001,3169307,IFSUL,189,0.817,0.401,77,189,0.23600000000000002,1.884,117784.30,623.20,1.139,0.605,2009,Agropecuária,Criação de bovinos
27,35.87,4mg060405,Piumhi,01512,0.66,3151503,IFMG,193,-0.098,0.451,96,193,0.47600000000000003,6.299,124292.96,644.01,-0.015,0.63,2009,Agropecuária,Criação de bovinos
28,39.938,4mg060203,Formiga,01512,0.62,3126109,IFMG,195,-0.01,0.152,110,195,0.593,2.443,122802.82,629.76,0.124,0.256,2009,Agropecuária,Criação de bovinos
29,40.77,4mg110407,Ponte Nova,01512,0.618,3152105,IFMG,261,0.079,0.006,95,261,0.5870000000000001,2.906,129649.81,496.74,0.214,0.115,2009,Agropecuária,Criação de bovinos
30,40.402,4mg060400,Bambui,01512,0.768,3105103,IFMG,264,-0.08,0.019,134,264,0.121,10.756,173786.35,658.28,0.027,0.157,2009,Agropecuária,Criação de bovinos
31,38.703,4mg000002,Barbacena,01512,0.649,3105608,IFSudeste,293,0.236,0.335,112,293,0.491,1.549,167924.60,573.12,0.394,0.49,2009,Agropecuária,Criação de bovinos
32,38.344,4mg020000,Almenara,01512,0.7290000000000001,3101706,IFNMG,302,0.031,-0.001,184,302,0.239,11.658,148564.57,491.94,0.16,0.114,2009,Agropecuária,Criação de bovinos
33,39.601,4mg060300,Bom Sucesso,01512,0.7140000000000001,3108008,IFSudeste,306,-0.038,0.008,133,306,0.34700000000000003,26.537,154010.61,503.30,0.047,0.129,2009,Agropecuária,Criação de bovinos
34,41.536,4mg110111,Juiz de Fora,01512,0.622,3136702,IFSudeste,695,0.061,0.217,323,696,0.45399999999999996,0.643,385671.85,554.13,0.181,0.36,2009,Agropecuária,Criação de bovinos
35,38.238,4mg060103,Divinopolis,01512,0.556,3122306,CEFET,366,0.028,0.112,169,366,0.72,1.244,268890.46,734.67,0.139,0.262,2009,Agropecuária,Criação de bovinos
36,39.845,4mg080100,Campina Verde,01512,0.764,3111101,IFTM,406,-0.036,0.057,298,406,0.134,34.876,314223.80,773.95,0.08,0.189,2009,Agropecuária,Criação de bovinos
37,36.822,4mg050204,Janauba,01512,0.619,3135100,IFNMG,437,-0.072,0.082,97,437,0.66,9.969,295915.63,677.15,0.051,0.234,2009,Agropecuária,Criação de bovinos
38,38.83,4mg080000,Araxa,01512,0.621,3104007,CEFET,465,0.036,0.122,227,465,0.551,3.542,334631.38,719.64,0.123,0.259,2009,Agropecuária,Criação de bovinos
39,37.601,4mg040002,Joao Pinheiro,01512,0.705,3136306,IFTM,506,0.084,-0.022,278,506,0.335,11.722,353636.91,698.89,0.198,0.076,2009,Agropecuária,Criação de bovinos
40,38.153,4mg080408,Patrocinio,01512,0.619,3148103,IFTM,562,-0.004,0.029,270,562,0.618,6.43,399101.05,710.14,0.114,0.146,2009,Agropecuária,Criação de bovinos
41,40.332,4mg070310,Passos,01512,0.5720000000000001,3147907,IFSUL,578,0.027,-0.068,315,578,0.743,4.604,395413.78,684.11,0.1,0.046,2009,Agropecuária,Criação de bovinos
42,40.029,4mg110311,Muriae,01512,0.601,3143906,IFSudeste,580,-0.025,0.228,255,582,0.65,3.691,289971.10,498.23,0.089,0.376,2009,Agropecuária,Criação de bovinos
43,38.793,4mg010103,Curvelo,01512,0.636,3120904,CEFET,642,0.027,0.049,265,642,0.561,8.397,404705.19,630.38,0.145,0.174,2009,Agropecuária,Criação de bovinos
44,38.314,4mg040005,Paracatu,01512,0.674,3147006,IFTM,643,-0.053,0.154,368,643,0.43,5.615,457593.97,711.66,0.007,0.291,2009,Agropecuária,Criação de bovinos
45,39.003,4mg080002,Ibia,01512,0.799,3129509,IFTM,369,0.028,0.118,158,369,0.006,13.894,290239.08,786.56,0.169,0.255,2009,Agropecuária,Criação de bovinos
46,37.286,4mg030501,Itabirito,01512,0.7709999999999999,3131901,IFMG,42,0.024,0.198,20,42,0.024,0.495,26567.25,632.55,0.031,0.341,2010,Agropecuária,Criação de bovinos
47,40.267,4mg030001,Betim,01512,0.899,3106705,IFMG,45,-0.118,0.046,18,45,-0.53,0.035,28655.89,636.80,-0.025,0.144,2010,Agropecuária,Criação de bovinos
48,39.151,4mg070703,Carmo de Minas,01512,0.826,3114105,IFSUL,53,0.128,0.426,22,53,-0.086,5.208,32364.56,610.65,0.27,0.585,2010,Agropecuária,Criação de bovinos
49,39.384,4mg060300,Bom Sucesso,01512,0.708,3108008,IFSudeste,345,0.127,0.033,147,346,0.374,29.214,194148.53,561.12,0.261,0.153,2010,Agropecuária,Criação de bovinos
50,39.483,4mg060103,Divinopolis,01512,0.5489999999999999,3122306,CEFET,360,-0.016,0.087,165,360,0.7490000000000001,1.233,291243.04,809.01,0.083,0.232,2010,Agropecuária,Criação de bovinos
51,38.729,4mg080002,Ibia,01512,0.782,3129509,IFTM,362,-0.019,0.102,154,362,0.06,17.518,317325.47,876.59,0.093,0.238,2010,Agropecuária,Criação de bovinos
52,40.118,4mg080100,Campina Verde,01512,0.7609999999999999,3111101,IFTM,389,-0.042,0.037,288,390,0.163,31.366,336293.06,862.29,0.07,0.157,2010,Agropecuária,Criação de bovinos
53,37.533,4mg050204,Janauba,01512,0.632,3135100,IFNMG,454,0.039,0.063,99,454,0.59,11.496,335549.02,739.10,0.134,0.177,2010,Agropecuária,Criação de bovinos
54,38.977,4mg080000,Araxa,01512,0.6609999999999999,3104007,CEFET,470,0.011,0.116,224,471,0.396,3.36,388743.72,825.36,0.162,0.257,2010,Agropecuária,Criação de bovinos
55,39.242,4mg110311,Muriae,01512,0.602,3143906,IFSudeste,495,-0.147,0.159,219,495,0.6559999999999999,3.183,277420.81,560.45,-0.043,0.281,2010,Agropecuária,Criação de bovinos
56,40.417,4mg070310,Passos,01512,0.5820000000000001,3147907,IFSUL,578,0.0,0.006,317,578,0.7240000000000001,4.549,447821.81,774.78,0.133,0.106,2010,Agropecuária,Criação de bovinos
57,38.348,4mg080408,Patrocinio,01512,0.603,3148103,IFTM,583,0.037,0.037,276,583,0.679,6.536,458965.11,787.25,0.15,0.138,2010,Agropecuária,Criação de bovinos
58,39.279,4mg020000,Almenara,01512,0.726,3101706,IFNMG,308,0.02,-0.01,185,308,0.256,10.28,164742.13,534.88,0.109,0.1,2010,Agropecuária,Criação de bovinos
59,37.808,4mg040002,Joao Pinheiro,01512,0.735,3136306,IFTM,600,0.186,0.026,305,600,0.24,11.922,459692.89,766.16,0.3,0.126,2010,Agropecuária,Criação de bovinos
60,38.62,4mg010103,Curvelo,01512,0.617,3120904,CEFET,656,0.022,0.035,273,656,0.63,8.688,446173.96,680.14,0.102,0.146,2010,Agropecuária,Criação de bovinos
61,40.656,4mg080204,Ituiutaba,01512,0.635,3134202,IFTM,672,-0.084,0.025,368,672,0.542,6.424,535962.28,797.56,0.002,0.144,2010,Agropecuária,Criação de bovinos
62,38.403,4mg040005,Paracatu,01512,0.693,3147006,IFTM,698,0.086,0.113,381,698,0.365,5.853,560750.10,803.37,0.225,0.224,2010,Agropecuária,Criação de bovinos
63,41.163,4mg110007,Leopoldina,01512,0.648,3138401,CEFET,706,0.071,0.031,320,706,0.484,12.24,416426.44,589.84,0.208,0.157,2010,Agropecuária,Criação de bovinos
64,39.225,4mg050413,Montes Claros,01512,0.584,3143302,IFNMG,730,-0.062,0.014,404,730,0.682,1.419,433713.31,594.13,0.0,0.127,2010,Agropecuária,Criação de bovinos
65,38.485,4mg080306,Patos de Minas,01512,0.535,3148004,IFTM,749,0.005,0.024,374,749,0.887,4.199,581446.45,776.30,0.082,0.131,2010,Agropecuária,Criação de bovinos
66,37.328,4mg090112,Teofilo Otoni,01512,0.5870000000000001,3168606,IFNMG,842,-0.131,0.027,419,842,0.713,5.757,483543.53,574.28,-0.046,0.142,2010,Agropecuária,Criação de bovinos
67,39.0,4mg100209,Governador Valadares,01512,0.557,3127701,IFMG,853,0.008,0.022,397,856,0.763,2.575,570430.84,666.39,0.108,0.138,2010,Agropecuária,Criação de bovinos
68,38.569,4mg030000,Belo Horizonte,01512,0.812,3106200,IFMG,982,0.069,-0.025,189,982,-0.20800000000000002,0.106,1034826.88,1053.80,0.106,0.067,2010,Agropecuária,Criação de bovinos
69,42.046,4mg110111,Juiz de Fora,01512,0.616,3136702,IFSudeste,630,-0.094,0.23,340,631,0.48100000000000004,0.6,388691.57,615.99,0.008,0.376,2010,Agropecuária,Criação de bovinos
70,41.384,4mg110407,Ponte Nova,01512,0.638,3152105,IFMG,276,0.057,0.003,103,276,0.503,3.043,153034.17,554.47,0.18,0.108,2010,Agropecuária,Criação de bovinos
71,39.714,4mg000002,Barbacena,01512,0.654,3105608,IFSudeste,276,-0.058,0.301,102,276,0.48100000000000004,1.412,168827.51,611.69,0.005,0.435,2010,Agropecuária,Criação de bovinos
72,40.581,4mg060400,Bambui,01512,0.765,3105103,IFMG,267,0.011,-0.027,133,267,0.11800000000000001,11.329,188617.33,706.43,0.085,0.088,2010,Agropecuária,Criação de bovinos
73,39.0,4mg030005,Contagem,01512,0.6709999999999999,3118601,CEFET,57,0.326,0.007,20,57,0.217,0.052,52367.71,918.73,0.384,0.105,2010,Agropecuária,Criação de bovinos
74,38.25,4mg030503,Ouro Preto,01512,0.8540000000000001,3146107,IFMG,60,-0.13,0.114,26,60,-0.282,0.38,39385.82,656.43,-0.027,0.26,2010,Agropecuária,Criação de bovinos
75,38.0,4mg100311,Sao Joao Evangelista,01512,0.8320000000000001,3162807,IFMG,60,-0.032,0.108,28,60,-0.12,10.102,34655.61,577.59,0.083,0.222,2010,Agropecuária,Criação de bovinos
76,39.824,4mg020302,Diamantina,01512,0.763,3121605,IFNMG,68,-0.042,0.029,37,68,0.102,0.996,40059.41,589.11,0.123,0.153,2010,Agropecuária,Criação de bovinos
77,38.575,4mg050611,Salinas,01512,0.677,3157005,IFNMG,80,0.25,0.033,44,80,0.45899999999999996,2.506,41280.32,516.00,0.273,0.152,2010,Agropecuária,Criação de bovinos
78,41.646,4mg110515,Uba,01512,0.647,3169901,IFSudeste,82,0.051,0.01,42,82,0.41700000000000004,0.545,50605.17,617.14,0.169,0.153,2010,Agropecuária,Criação de bovinos
79,38.193,4mg020100,Aracuai,01512,0.691,3103405,IFNMG,88,0.073,0.03,53,88,0.405,4.309,49427.78,561.68,0.198,0.15,2010,Agropecuária,Criação de bovinos
80,35.556,4mg050210,Porteirinha,01512,0.7290000000000001,3152204,IFNMG,90,-0.062,0.077,34,90,0.293,8.047,51950.56,577.23,0.013,0.196,2010,Agropecuária,Criação de bovinos
81,40.138,4mg060200,Arcos,01512,0.682,3104205,IFMG,94,0.022,0.035,24,94,0.36,2.937,106198.70,1129.77,0.145,0.161,2010,Agropecuária,Criação de bovinos
82,40.846,4mg050505,Pirapora,01512,0.746,3151206,IFNMG,104,0.01,0.079,17,104,0.152,1.774,87375.92,840.15,0.122,0.237,2010,Agropecuária,Criação de bovinos
83,39.432,4mg110508,Rio Pomba,01512,0.782,3155801,IFSudeste,125,-0.046,-0.018,68,125,0.024,5.979,72221.65,577.77,0.051,0.101,2010,Agropecuária,Criação de bovinos
84,37.227,4mg000212,Sao Joao del Rei,01512,0.653,3162500,IFSudeste,132,0.031,0.075,72,132,0.457,0.907,77161.87,584.56,0.147,0.198,2010,Agropecuária,Criação de bovinos
85,42.414,4mg110002,Cataguases,01512,0.708,3115300,IFSudeste,133,-0.249,0.028,63,133,0.24,1.162,76431.70,574.67,-0.186,0.128,2010,Agropecuária,Criação de bovinos
86,36.511,4mg030203,Conselheiro Lafaiete,01512,0.62,3118304,IFMG,141,0.146,0.007,77,141,0.556,1.195,88294.38,626.20,0.34,0.139,2010,Agropecuária,Criação de bovinos
87,39.033,4mg050305,Januaria,01512,0.7140000000000001,3135209,IFNMG,152,-0.174,0.0,61,152,0.31,6.228,100011.91,657.97,-0.134,0.112,2010,Agropecuária,Criação de bovinos
88,40.22,4mg110129,Santos Dumont,01512,0.685,3160702,IFSudeste,164,0.006,-0.011,99,164,0.379,4.039,92375.78,563.27,0.15,0.104,2010,Agropecuária,Criação de bovinos
89,37.224,4mg040100,Arinos,01512,0.772,3104502,IFNMG,165,0.1,0.105,94,165,0.135,25.646,116354.03,705.18,0.241,0.219,2010,Agropecuária,Criação de bovinos
90,39.287,4mg060203,Formiga,01512,0.616,3126109,IFMG,167,-0.144,0.159,102,167,0.618,2.047,119061.46,712.94,-0.03,0.303,2010,Agropecuária,Criação de bovinos
91,37.679,4mg060405,Piumhi,01512,0.662,3151503,IFMG,187,-0.031,0.355,100,187,0.46399999999999997,5.985,132473.51,708.41,0.066,0.487,2010,Agropecuária,Criação de bovinos
92,40.835,4mg070913,Tres Coracoes,01512,0.741,3169307,IFSUL,194,0.026,0.365,73,194,0.134,1.876,134206.72,691.79,0.139,0.536,2010,Agropecuária,Criação de bovinos
93,42.155,4mg070514,Pouso Alegre,01512,0.695,3152501,IFSUL,218,0.166,0.245,111,219,0.21899999999999997,0.767,151193.40,690.38,0.493,0.424,2010,Agropecuária,Criação de bovinos
94,37.174,4mg050305,Januaria,01512,0.7290000000000001,3135209,IFNMG,184,0.057,0.059,62,184,0.253,6.471,115547.38,627.98,0.221,0.184,2009,Agropecuária,Criação de bovinos
95,40.847,4mg110002,Cataguases,01512,0.7170000000000001,3115300,IFSudeste,177,0.106,0.137,70,177,0.218,1.522,93900.50,530.51,0.207,0.266,2009,Agropecuária,Criação de bovinos
96,40.497,4mg110129,Santos Dumont,01512,0.688,3160702,IFSudeste,163,0.019,0.013,98,163,0.35,3.813,80344.95,492.91,0.114,0.123,2009,Agropecuária,Criação de bovinos
97,36.747,4mg040100,Arinos,01512,0.77,3104502,IFNMG,150,0.042,0.07,92,150,0.132,24.196,93731.12,624.87,0.12,0.181,2009,Agropecuária,Criação de bovinos
98,40.663,4mg070913,Tres Coracoes,01512,0.76,3169307,IFSUL,104,0.268,0.258,43,104,0.035,0.953,55060.23,529.43,0.423,0.42,2008,Agropecuária,Criação de bovinos
99,37.083,4mg000212,Sao Joao del Rei,01512,0.6509999999999999,3162500,IFSudeste,108,-0.018,0.004,61,108,0.439,0.828,48807.37,451.92,0.05,0.117,2008,Agropecuária,Criação de bovinos
100,37.752,4mg110508,Rio Pomba,01512,0.7709999999999999,3155801,IFSudeste,141,0.044,0.013,79,141,0.055999999999999994,7.682,64315.12,456.14,0.12,0.129,2008,Agropecuária,Criação de bovinos
101,37.639,4mg040100,Arinos,01512,0.753,3104502,IFNMG,144,0.021,0.087,80,144,0.179,31.491,83692.83,581.20,0.14,0.201,2008,Agropecuária,Criação de bovinos
102,36.758,4mg030203,Conselheiro Lafaiete,01512,0.596,3118304,IFMG,153,0.125,0.018,78,153,0.619,1.446,76315.29,498.79,0.306,0.14,2008,Agropecuária,Criação de bovinos
103,40.644,4mg110002,Cataguases,01512,0.715,3115300,IFSudeste,160,0.039,0.132,65,160,0.214,1.458,77827.28,486.42,0.197,0.245,2008,Agropecuária,Criação de bovinos
104,41.281,4mg110129,Santos Dumont,01512,0.6970000000000001,3160702,IFSudeste,160,0.006,0.017,102,160,0.302,3.739,72091.66,450.57,0.134,0.122,2008,Agropecuária,Criação de bovinos
105,36.552,4mg050305,Januaria,01512,0.7290000000000001,3135209,IFNMG,174,-0.059,0.021,58,174,0.24600000000000002,6.077,94613.14,543.75,0.042,0.086,2008,Agropecuária,Criação de bovinos
106,39.325,4mg060203,Formiga,01512,0.621,3126109,IFMG,197,0.015,0.21,120,197,0.563,2.459,109266.57,554.65,0.08,0.347,2008,Agropecuária,Criação de bovinos
107,39.039,4mg060200,Arcos,01512,0.725,3104205,IFMG,102,-0.221,0.14,18,102,0.18,3.094,92222.36,904.14,-0.034,0.221,2008,Agropecuária,Criação de bovinos
108,35.706,4mg050505,Pirapora,01512,0.713,3151206,IFNMG,210,-0.032,0.177,23,211,0.265,3.867,125020.57,592.52,0.152,0.315,2008,Agropecuária,Criação de bovinos
109,35.874,4mg060405,Piumhi,01512,0.634,3151503,IFMG,214,-0.082,0.491,105,214,0.575,7.401,126132.57,589.41,0.013,0.697,2008,Agropecuária,Criação de bovinos
110,39.418,4mg000002,Barbacena,01512,0.621,3105608,IFSudeste,237,0.049,0.24,104,237,0.5820000000000001,1.272,120461.34,508.28,0.271,0.375,2008,Agropecuária,Criação de bovinos
111,39.773,4mg110407,Ponte Nova,01512,0.621,3152105,IFMG,242,-0.058,-0.012,110,242,0.562,2.796,106763.43,441.17,0.024,0.085,2008,Agropecuária,Criação de bovinos
112,40.446,4mg060400,Bambui,01512,0.752,3105103,IFMG,287,-0.007,0.036,144,287,0.15,13.735,169254.34,589.74,0.079,0.179,2008,Agropecuária,Criação de bovinos
113,38.293,4mg020000,Almenara,01512,0.7190000000000001,3101706,IFNMG,293,0.05,-0.007,179,294,0.282,11.296,128022.35,435.45,0.132,0.112,2008,Agropecuária,Criação de bovinos
114,40.088,4mg060300,Bom Sucesso,01512,0.774,3108008,IFSudeste,318,0.023,0.253,149,319,0.10099999999999999,18.379,147050.71,460.97,0.122,0.401,2008,Agropecuária,Criação de bovinos
115,37.652,4mg060103,Divinopolis,01512,0.552,3122306,CEFET,356,-0.038,0.225,164,356,0.728,1.246,236095.23,663.19,0.099,0.377,2008,Agropecuária,Criação de bovinos
116,38.655,4mg080002,Ibia,01512,0.8,3129509,IFTM,359,0.125,0.131,171,359,-0.028999999999999998,14.747,248325.95,691.72,0.279,0.28,2008,Agropecuária,Criação de bovinos
117,38.983,4mg080100,Campina Verde,01512,0.8220000000000001,3111101,IFTM,421,-0.002,0.093,304,421,-0.11800000000000001,23.159,290863.06,690.89,0.134,0.224,2008,Agropecuária,Criação de bovinos
118,42.729,4mg070514,Pouso Alegre,01512,0.6629999999999999,3152501,IFSUL,210,-0.278,0.298,112,210,0.33,0.74,101771.83,484.63,-0.194,0.456,2008,Agropecuária,Criação de bovinos
119,41.584,4mg110515,Uba,01512,0.634,3169901,IFSudeste,89,0.219,0.038,40,89,0.451,0.644,43098.15,484.25,0.313,0.163,2008,Agropecuária,Criação de bovinos
120,37.488,4mg050210,Porteirinha,01512,0.7609999999999999,3152204,IFNMG,84,0.037,0.063,38,84,0.146,7.606,40458.01,481.64,0.113,0.177,2008,Agropecuária,Criação de bovinos
121,37.916,4mg020302,Diamantina,01512,0.7240000000000001,3121605,IFNMG,83,0.078,0.203,41,83,0.245,1.37,37250.32,448.80,0.167,0.337,2008,Agropecuária,Criação de bovinos
122,39.833,4mg030208,Ouro Branco,01512,0.948,3145901,IFMG,6,0.5,0.246,5,6,-0.67,0.027,2856.06,476.01,0.53,0.437,2008,Agropecuária,Criação de bovinos
123,43.167,4mg100412,Timoteo,01512,0.828,3168705,CEFET,6,0.0,0.149,4,6,-0.221,0.026,2591.84,431.97,0.338,0.197,2008,Agropecuária,Criação de bovinos
124,46.0,4mg110209,Manhuacu,01512,0.642,3139409,IFSudeste,10,-0.167,0.108,5,10,0.46799999999999997,0.093,4122.27,412.23,-0.113,0.228,2008,Agropecuária,Criação de bovinos
125,35.833,4mg030202,Congonhas,01512,0.8740000000000001,3118007,IFMG,12,0.2,-0.03,6,12,-0.369,0.096,5395.26,449.61,0.189,0.071,2008,Agropecuária,Criação de bovinos
126,37.667,4mg070407,Inconfidentes,01512,0.879,3130606,IFSUL,12,-0.676,0.018,7,12,-0.342,1.549,6653.20,554.43,-0.685,0.156,2008,Agropecuária,Criação de bovinos
127,39.8,4mg070915,Varginha,01512,0.648,3170701,CEFET,20,0.429,0.201,6,20,0.377,0.061,8162.89,408.14,0.309,0.248,2008,Agropecuária,Criação de bovinos
128,43.739,4mg030016,Ribeirao das Neves,01512,0.7829999999999999,3154606,IFMG,23,-0.258,-0.024,8,23,-0.023,0.204,12311.14,535.27,-0.1,0.01,2008,Agropecuária,Criação de bovinos
129,37.087,4mg030018,Sabara,01512,0.79,3156700,IFMG,23,-0.115,-0.017,5,23,-0.084,0.333,17108.16,743.83,-0.011,0.072,2008,Agropecuária,Criação de bovinos
130,40.25,4mg000107,Nepomuceno,01512,0.73,3144607,CEFET,28,0.217,0.563,4,28,0.245,1.793,15065.63,538.06,0.306,0.842,2008,Agropecuária,Criação de bovinos
131,39.967,4mg070008,Machado,01512,0.74,3139003,IFSUL,30,-0.231,0.021,10,30,0.134,0.673,16786.29,559.54,-0.087,0.162,2008,Agropecuária,Criação de bovinos
132,35.794,4mg030501,Itabirito,01512,0.831,3131901,IFMG,34,0.308,-0.006,16,34,-0.231,0.385,20347.79,598.46,0.576,0.107,2008,Agropecuária,Criação de bovinos
133,40.297,4mg030019,Santa Luzia,01512,0.882,3157807,IFMG,37,-0.075,0.143,25,37,-0.434,0.138,20181.29,545.44,0.057,0.291,2008,Agropecuária,Criação de bovinos
134,37.22,4mg070703,Carmo de Minas,01512,0.797,3114105,IFSUL,41,0.051,0.279,20,41,0.013000000000000001,3.494,20002.29,487.86,0.16,0.419,2008,Agropecuária,Criação de bovinos
135,41.596,4mg070411,Pocos de Caldas,01512,0.649,3151800,IFSUL,47,-0.041,0.154,9,47,0.38799999999999996,0.135,24216.52,515.25,0.033,0.273,2008,Agropecuária,Criação de bovinos
136,36.78,4mg100311,Sao Joao Evangelista,01512,0.8390000000000001,3162807,IFMG,50,0.042,0.093,24,50,-0.14800000000000002,6.339,24458.53,489.17,0.125,0.202,2008,Agropecuária,Criação de bovinos
137,38.298,4mg030005,Contagem,01512,0.653,3118601,CEFET,57,0.267,0.022,15,57,0.268,0.051,40813.97,716.04,0.418,0.094,2008,Agropecuária,Criação de bovinos
138,38.828,4mg030001,Betim,01512,0.9059999999999999,3106705,IFMG,58,-0.017,0.106,22,58,-0.574,0.054,35165.50,606.30,0.065,0.255,2008,Agropecuária,Criação de bovinos
139,40.559,4mg100404,Ipatinga,01512,0.7809999999999999,3131307,IFMG,59,0.204,0.13,38,59,-0.092,0.075,25648.10,434.71,0.233,0.228,2008,Agropecuária,Criação de bovinos
140,34.823,4mg030503,Ouro Preto,01512,0.846,3146107,IFMG,62,-0.061,0.109,26,62,-0.26899999999999996,0.38,30704.85,495.24,0.083,0.209,2008,Agropecuária,Criação de bovinos
